Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
LICT,17900,13-11-2023,15:46 EST,0,18100,17900,17900,10,20231114,17900,1,0,,,
FINN,12082.5,13-11-2023,12:50 EST,0,12082.5,12082.5,12082.5,1,20231114,12082.5,1,0,,,
LDSVF,12063.675,14-11-2023,12:06 EST,157.14453,12123.96,12123.96,12050,3,20231114,12063.675,1,0,,,
NVR,6328.89,14-11-2023,14:33 EST,298.4502,6170,6356.185,6170,13858,20231114,6328.89,1,0,,,
SWZNF,5076.37,31-10-2023,14:18 EDT,0,5076.37,5076.37,5076.37,2,20231114,5076.37,1,0,,,
SBNC,4925,08-11-2023,10:28 EST,0,5000,4925,4925,4,20231114,4925,1,0,,,
HRCR,4600,25-10-2023,10:48 EDT,0,4580,4600,4600,14,20231114,4600,1,0,,,
FMBL,4540,14-11-2023,14:00 EST,42,4498,4540,4480.01,76,20231114,4540,1,0,,,
SEB,3560,14-11-2023,14:29 EST,60.01,3513.12,3564.95,3450.05,658,20231114,3560,1,0,,,
GVDBF,3500,14-11-2023,12:31 EST,211.34009,3550,3550,3500,6,20231114,3500,1,0,,,
BKNG,3158,14-11-2023,14:24 EST,38.79004,3165.76,3181,3145.34,182931,20231114,3158,1,0,,,
CCUR,3050,04-10-2023,09:30 EDT,0,3050,3050,3050,1,20231114,3050,1,0,,,
ADKT,2700,08-08-2023,09:35 EDT,0,2700,2700,2700,3,20231114,2700,1,0,,,
AZO,2670.35,14-11-2023,14:35 EST,-36.77002,2731.92,2733.2,2670.35,122597,20231114,2670.35,1,0,,,
CNSWF,2246.5,14-11-2023,14:21 EST,3.590088,2250,2265.66,2218.76,655,20231114,2246.5,1,0,,,
CMG,2158.98,14-11-2023,14:36 EST,8.550049,2168.06,2177.07,2151.95,119146,20231114,2158.98,1,0,,,
HESAF,2084.8,14-11-2023,11:47 EST,104.30005,2006,2092.3,2006,30,20231114,2084.8,1,0,,,
CIBY,1850,07-11-2023,11:08 EST,0,1850,1850,1850,1,20231114,1850,1,0,,,
TPL,1721.58,14-11-2023,13:37 EST,60.21,1682.31,1731.97,1646.13,10781,20231114,1721.58,1,0,,,
BYCBF,1562.4,06-11-2023,13:11 EST,0,0,1562.4,1562.4,51,20231114,1562.4,1,0,,,
AMKBF,1500,14-11-2023,12:37 EST,123,1521,1521,1479.1,11,20231114,1500,1,0,,,
WTM,1500,14-11-2023,12:36 EST,-0.0699463,1501.43,1513.43,1489,10537,20231114,1500,1,0,,,
AMKAF,1445,14-11-2023,09:39 EST,8,1437.16,1445,1437.16,22,20231114,1445,1,0,,,
FCNCA,1431.37,14-11-2023,14:31 EST,23.96997,1430,1464.525,1426.93,43152,20231114,1431.37,1,0,,,
MELI,1427.95,14-11-2023,14:32 EST,49.659912,1423.22,1466.56,1419.27,339052,20231114,1427.95,1,0,,,
